字母A
阿杜,#genre#
阿杜+张清芳-这些日子以来(演唱会),http://em.21dtv.com/songs/60057874.mkv
阿杜-一天天一点点,http://em.21dtv.com/songs/60053714.mkv

艾歌,#genre#
艾歌-一生中最爱的人,http://vodcdn.video.taobao.com/oss/ali-video/7506ddfc8f692a7cda1b2ef73531f78b/video.m3u8
艾歌-一生中最爱的人,http://vodcdn.video.taobao.com/oss/ali-video/7506ddfc8f692a7cda1b2ef73531f78b/video.m3u8
何龙雨、艾歌 - 做你的雪莲 - KTV版,https://cfss.cc/api/kg/52BAE94DA2F36CB3EDBE7EF668D53EAC.mp4
艾歌-一生中最爱的人,http://vodcdn.video.taobao.com/oss/ali-video/7506ddfc8f692a7cda1b2ef73531f78b/video.m3u8
艾歌-一生中最爱的人,http://vodcdn.video.taobao.com/oss/ali-video/7506ddfc8f692a7cda1b2ef73531f78b/video.m3u8
艾歌-一生中最爱的人,http://vodcdn.video.taobao.com/oss/ali-video/7506ddfc8f692a7cda1b2ef73531f78b/video.m3u8
艾歌-红红的日子,http://em.21dtv.com/songs/60145522.mkv
艾歌-下辈子不要再遇见你,http://em.21dtv.com/songs/60048243.mkv
艾歌-我爱的你却给她披上了嫁衣,http://em.21dtv.com/songs/60044550.mkv
艾歌-全世界都知道你变了心,http://em.21dtv.com/songs/60077305.mkv
晨熙+艾歌-找一个相爱的理由,http://em.21dtv.com/songs/60070234.mkv
艾歌-你怎么舍得我流泪,http://em.21dtv.com/songs/60088517.mkv
艾歌-你是我今生的唯一,http://em.21dtv.com/songs/60032139.mkv
艾歌-一生中最爱的人,http://em.21dtv.com/songs/60053638.mkv
艾歌-人生就是一场梦,http://em.21dtv.com/songs/60086782.mkv
艾歌-如果可以不爱你,http://em.21dtv.com/songs/60036811.mkv
艾歌-没有感情的感情,http://em.21dtv.com/songs/60028783.mkv
艾歌-来生再做你的人,http://em.21dtv.com/songs/60070860.mkv
钱刚+艾歌-最美丽的时候,http://em.21dtv.com/songs/60079811.mkv
艾歌-一个人的脚步,http://em.21dtv.com/songs/60053012.mkv

安东阳,#genre#
甘心情愿爱着你.安东阳张怡诺,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgq_2a4gUo686M8wc.mp4
安东阳+樊桐舟-万水千山总是爱,http://em.21dtv.com/songs/60099201.mkv
安东阳、樊桐舟 - 万水千山总是爱,https://cfss.cc/api/kg/5BE4A294E2932720177E7B2CB497CB1A.mp4
安东阳+樊桐舟-万水千山总是爱,http://em.21dtv.com/songs/60099201.mkv
安东阳+门丽-美丽的遇见,http://em.21dtv.com/songs/60138639.mkv
安东阳-爱是我给你的一片天,http://em.21dtv.com/songs/60138638.mkv
安东阳+樊桐舟-万水千山总是爱(HD),http://em.21dtv.com/songs/60137513.mkv
安东阳+司徒兰芳-你开心所以我快乐,http://em.21dtv.com/songs/60136378.mkv
安东阳-缘分惹的祸,http://em.21dtv.com/songs/60061858.mkv
安东阳-你的美丽是我的伤悲,http://em.21dtv.com/songs/60031584.mkv
安东阳+司徒兰芳-你开心所以我快乐,http://em.21dtv.com/songs/60121584.mkv
安东阳+樊桐舟-万水千山总是爱,http://em.21dtv.com/songs/60099201.mkv
安东阳+张怡诺-甘心情愿爱着你,http://em.21dtv.com/songs/60117426.mkv
安东阳-爱在秋天的童话,http://em.21dtv.com/songs/60087679.mkv
安东阳-爱你忘了我自己,http://em.21dtv.com/songs/60087678.mkv

字母B
Beyond,#genre#
Beyond-恭贺新禧,https://vd3.bdstatic.com/mda-pa23851hsyd2x3gw/720p/h264/1672712287694753715/mda-pa23851hsyd2x3gw.mp4
Beyond 一无所有,https://vd2.bdstatic.com/mda-pb69fhx7hqjst7z0/720p/h264/1675752122847627386/mda-pb69fhx7hqjst7z0.mp4
Beyond-做个勇敢中国人,https://vd4.bdstatic.com/mda-pb67wvdtabw1hcc1/sc/cae_h264/1677143608730600057/mda-pb67wvdtabw1hcc1.mp4
Beyond-无悔这一生,https://vd2.bdstatic.com/mda-pfedvwkn0c7n9nps/720p/h264/1686822551531477613/mda-pfedvwkn0c7n9nps.mp4
Beyond-曾经拥有(国语),https://vd3.bdstatic.com/mda-nkd82m4pswgs6pxn/sc/cae_h264/1668406291300419146/mda-nkd82m4pswgs6pxn.mp4
Beyond-长城,https://vd2.bdstatic.com/mda-pdd7ga8b3zr5i41h/720p/h264/1681450164786837641/mda-pdd7ga8b3zr5i41h.mp4
Beyond-无名的歌,https://vd2.bdstatic.com/mda-pb69nvianez0ntx8/720p/h264/1675752741586096655/mda-pb69nvianez0ntx8.mp4
Beyond-我想夺取你的唇(日语),https://vd2.bdstatic.com/mda-pb67md3272e7kri7/sc/cae_h264/1675819526305624565/mda-pb67md3272e7kri7.mp4
Beyond-无声的告别,https://vd4.bdstatic.com/mda-pmp58nmqsgb92wk0/sc/cae_h264/1703413160329246331/mda-pmp58nmqsgb92wk0.mp4
Beyond-爸爸妈妈,https://vd2.bdstatic.com/mda-pa1bft65s0dd1gmj/720p/h264/1672646801904053737/mda-pa1bft65s0dd1gmj.mp4
Beyond-月光光,https://vd3.bdstatic.com/mda-pk71yshs11jtr3hj/720p/h264/1699406604392074732/mda-pk71yshs11jtr3hj.mp4
Beyond-我是愤怒,https://vd4.bdstatic.com/mda-pfedvwjiq0bc2em4/cae_h264/1687319707256687325/mda-pfedvwjiq0bc2em4.mp4
Beyond-系要听Rock'n'Roll,https://vd3.bdstatic.com/mda-pa23i4bgg7yyy50e/sc/cae_h264/1672821287386913129/mda-pa23i4bgg7yyy50e.mp4
Beyond-无地自容,https://vd4.bdstatic.com/mda-pjidk6cp3qnuejss/sc/cae_h264/1697888107381538824/mda-pjidk6cp3qnuejss.mp4
Beyond-每段路,https://vd4.bdstatic.com/mda-pjs4kpj6vq2a66t5/sc/cae_h264/1698381767640514337/mda-pjs4kpj6vq2a66t5.mp4
Beyond｜黄贯中-天与地,https://vd2.bdstatic.com/mda-pbah2amn63ey6uit/sc/cae_h264/1676117373287136231/mda-pbah2amn63ey6uit.mp4
Beyond-明日世界,https://vd3.bdstatic.com/mda-pmg8k26khf11xk5a/sc/cae_h264/1702793349044124971/mda-pmg8k26khf11xk5a.mp4
Beyond-太阳的心,https://vd4.bdstatic.com/mda-pbph0ng5wdf3dihv/sc/cae_h264/1677240336508612789/mda-pbph0ng5wdf3dihv.mp4
Beyond-半斤八两,https://vd4.bdstatic.com/mda-nj89gued44mp2nqm/sc/cae_h264/1665312407886165562/mda-nj89gued44mp2nqm.mp4
Beyond-命运是你家,https://vd3.bdstatic.com/mda-njhb1h9yq79pfm5f/720p/h264/1666079280551083227/mda-njhb1h9yq79pfm5f.mp4
Beyond-过去与今天,https://vd4.bdstatic.com/mda-nkade2jdg3kejgug/720p/h264/1668158905694542662/mda-nkade2jdg3kejgug.mp4
Beyond-Bye-Bye,https://vd2.bdstatic.com/mda-nk7c3unnqt2zrhay/sc/cae_h264/1667901438891535878/mda-nk7c3unnqt2zrhay.mp4
Beyond_海阔天空,https://vd2.bdstatic.com/mda-jccg84gp61a7n0ms/sc/mda-jccg84gp61a7n0ms.mp4
BEYOND-请将手放开,http://em.21dtv.com/songs/60035529.mkv
源远 - 【我是歌手/歌手】被翻唱歌手歌曲合集17 - BEYOND篇（共被翻唱7次）,https://cfss.cc/api/kg/187DF810100DDE1E9258C4DB8067886E.mp4
源远 - 【我是歌手/歌手】被翻唱歌手歌曲合集17 - BEYOND篇（共被翻唱7次）,https://cfss.cc/api/kg/187DF810100DDE1E9258C4DB8067886E.mp4
源远 - 【我是歌手/歌手】被翻唱歌手歌曲合集17 - BEYOND篇（共被翻唱7次）,https://cfss.cc/api/kg/187DF810100DDE1E9258C4DB8067886E.mp4
三个懒汉 - 嗨翻全场《大地》致敬偶像黄家驹—Beyond,https://cfss.cc/api/kg/70043210A40FADDB23CF7904F8D9B480.mp4
和规范化 - 《我是歌手》黄家驹出场，轰动全场！！beyond：可否冲破,https://cfss.cc/api/kg/317BD269FE4C8BA3BF64A8FE47A59462.mp4
浅唱寂寞 - 嗨翻全场《光辉岁月》致敬偶像黄家驹—Beyond,https://cfss.cc/api/kg/964B4A5FE922F235363397B03B8E6746.mp4
巫妖 - 嗨翻全场《AMANI》致敬偶像黄家驹—Beyond,https://cfss.cc/api/kg/C29D792E787D88D0F7AE5AE316D9B4E7.mp4
酱紫音乐 - Beyond乐队的《再见理想》 唱出了黄家驹的落寞与孤独！,https://cfss.cc/api/kg/23075630933559E93B035563CC067B54.mp4
1192881995 - Beyond黄家驹《无悔这一生》怀旧经典金曲,https://cfss.cc/api/kg/A028EBC3102DA3BE887F5D4FC1A67B16.mp4
音乐大喇叭 - 黄家驹死后BEYOND开的第一场演唱会全场哭着唱完,https://cfss.cc/api/kg/D7C859E7F0F84E2858F361A21442B236.mp4
倚竹听风 - 《旧日的足迹》纪念黄家驹 致敬Beyond,https://cfss.cc/api/kg/18A867B6486CAEB3A8C517E84D124C5D.mp4
鹏鹏 - Beyond最经典的solo串烧在一起！六分钟一次听个够,https://cfss.cc/api/kg/FB8590BB5E9718F87372A78ED59FD680.mp4
海川 - 【港剧原声】摇滚《逝去的日子》Beyond 三子时代 <淘气双子星>插曲 BGM 2005 The Story Live 演唱会,https://cfss.cc/api/kg/9F90580C09671059638D5E696B1B2075.mp4
筝彤 - 我是歌手第三季 BEYOND 黄家驹出场 轰动全场《可否冲破》,https://cfss.cc/api/kg/93B55754DCEF1924522754804019D08F.mp4
布衣倾城 - 【4K60FPS】Beyond《海阔天空》神级现场！纪念黄家驹！,https://cfss.cc/api/kg/25514DD3AADEBC0822BEDB7195417B6F.mp4
零度沸腾 - 我是歌手第三季 BEYOND 黄家驹出场 轰动全场《可否冲破》,https://cfss.cc/api/kg/409945D33DEA5A796CC24143BAE5E430.mp4
斜阳丽影 - 我是歌手第四季BEYOND黄家驹出场嗨爆全场演唱《永远等待》！,https://cfss.cc/api/kg/32DEE0CCBC0A9BC8E1E16D75F12A0C7A.mp4
源远 - 【我是歌手/歌手】被翻唱歌手歌曲合集17 - BEYOND篇（共被翻唱7次）,https://cfss.cc/api/kg/187DF810100DDE1E9258C4DB8067886E.mp4
孔子 - 我是歌手第四季BEYOND黄家驹出场嗨爆全场演唱《永远等待》！,https://cfss.cc/api/kg/11B9A4DFE4EE8C726F989D6CC5FC7ED4.mp4
源远 - 【我是歌手/歌手】被翻唱歌手歌曲合集17 - BEYOND篇（共被翻唱7次）,https://cfss.cc/api/kg/187DF810100DDE1E9258C4DB8067886E.mp4
2infinity And Beyond,http://em.21dtv.com/songs/60128122.mkv
BEYOND-血染的风采,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201217/5623330UVqF1sc8YPbod665sH.mp4
黄耀明+BEYOND-真的爱你+下落不明,http://em.21dtv.com/songs/60089055.mkv
铭鑫-心中的BEYOND,http://em.21dtv.com/songs/60113031.mkv
庞锟-光辉BEYOND,http://em.21dtv.com/songs/60106814.mkv
BEYOND-祝您愉快(双语种)(演唱会),http://em.21dtv.com/songs/60059394.mkv
BEYOND-亚拉伯跳舞女郎,http://em.21dtv.com/songs/60051893.mkv
BEYOND-深紫色的高争鞋,http://em.21dtv.com/songs/60092146.mkv
BEYOND-你知道我的迷惘,http://em.21dtv.com/songs/60089563.mkv
梁杰-有个乐队叫beyond,http://em.21dtv.com/songs/60079280.mkv
BEYOND-一辈子陪我走,http://em.21dtv.com/songs/60052767.mkv

半阳,#genre#
半阳 Ⅰ 一曲相思,https://vdse.bdstatic.com//e547b08ce3afad200eec374f3c4ee450.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T13%3A00%3A56Z%2F-1%2Fhost%2Fc4e678fdb911f8524405fcf1563002f4f9c892a22e3f2033b917a39f2d01ea20#https://vdse.bdstatic.com//e547b08ce3afad200eec374f3c4ee450.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T13%3A00%3A56Z%2F-1%2Fhost%2Fc4e678fdb911f8524405fcf1563002f4f9c892a22e3f2033b917a39f2d01ea20
半阳、酷狗首唱会 - 一曲相思 - 半阳酷狗首唱会现场版,https://cfss.cc/api/kg/469BB3379D95BFB2FF015843A5DE8CD1.mp4
半阳 - 流浪,https://cfss.cc/api/kg/756B0B90BC2171B8E89311FEE0C24D95.mp4
半阳、酷狗首唱会 - 我的将军啊 - 酷狗首唱会现场,https://cfss.cc/api/kg/7CC9AE69BF7B9077D072FD998061D05F.mp4
半阳、酷狗首唱会 - 风满楼 - 酷狗首唱会现场,https://cfss.cc/api/kg/524794A1929EABDB9ED206610BDC117F.mp4
半阳、酷狗首唱会 - 风满楼 - 酷狗首唱会现场,https://cfss.cc/api/kg/30924074BB0AF0930726375CE6EC75E4.mp4
半阳 - 烟花巷子 - KTV版,https://cfss.cc/api/kg/04EB61235204DF20403F91D9DF313B45.mp4
半阳、酷狗首唱会 - 一曲相思 - 半阳酷狗首唱会现场版,https://cfss.cc/api/kg/C9D4AF90DF3014F4232839204A59B93C.mp4
半阳、酷狗首唱会 - 风满楼 - 半阳酷狗首唱会现场版,https://cfss.cc/api/kg/08C69D13AE33C69F54D5009B2C76C9CE.mp4
半阳、酷狗首唱会 - 一城山水 - 半阳酷狗首唱会现场版,https://cfss.cc/api/kg/AF31C726BE8AF0140CBDB24BF0A7050A.mp4
半阳、酷狗首唱会 - 流浪 - 半阳酷狗首唱会现场版,https://cfss.cc/api/kg/CFF36373525434BBD7013C619322C368.mp4
M哥、半阳 - 黄粱一梦 - KTV版,https://cfss.cc/api/kg/D503528190353F64D6C9509A7B1F41F4.mp4
ys - 半阳 - 一曲相思 (DJ黎小霸版),https://cfss.cc/api/kg/2539D96CDCC7CD6D3FAF017EFED34C93.mp4

本兮,#genre#
本兮 - 情花,https://cfss.cc/api/kg/7D4430C780DF0AC6CE85FA0499039EB9.mp4
本兮、单小源 - 你在看孤独的风景,https://cfss.cc/api/kg/2CADC014AC47244EBF5759426D97EC84.mp4
本兮 - 下雪的季节 - 《错生》 网络剧插曲,https://cfss.cc/api/kg/19B9AE10E40D67ACF10F92A0E44AB93C.mp4
本兮 - 2014 贺岁视频,https://cfss.cc/api/kg/73106D3D5D17D03DE2EDC8F8DB0523E0.mp4
本兮 - 某个心跳,https://cfss.cc/api/kg/22DC3B667B702F7C6D595AFF442BEF90.mp4
本兮、徐良 - 创作者,https://cfss.cc/api/kg/E126E19D3BC147F8A8B85B1F13434824.mp4
本兮 - 空虚，沸腾 - KTV版,https://cfss.cc/api/kg/3B365420258CEE4B51FF039834EA83AE.mp4
本兮、单小源 - 你在看孤独的风景 - KTV版,https://cfss.cc/api/kg/C77FFC6BA1719857A66515AC10F4E831.mp4
本兮 - 战放 - KTV版,https://cfss.cc/api/kg/EC0D4E044BD6184E2B56D30C124B9034.mp4
本兮、阿悄 - 无限速 - 现场版,https://cfss.cc/api/kg/4461B63E5467ACC527857F4CC9ECA3A1.mp4

字母C
蔡国庆,#genre#
陈红、蔡国庆、张迈、江涛 - 常回家看看 - 1999央视春节联欢晚会,https://cfss.cc/api/kg/64E912F7FFE2AC25943FA4D5054A2BA1.mp4
综艺一手抓 - 苏宁直播嘉年华好事开场！蔡国庆、曹扬 、关晓彤、贾乃亮、李一桐、刘婧、乔欣、王子异、悦悦、张歆艺《好事开场》,https://cfss.cc/api/kg/72B421B5A8669AC26520A4ADBD9DF2C7.mp4
蔡国庆、张凯丽、关晓彤、于朦胧、李菁、任静、刘媛媛、陈铎、付笛声、付豪(9) - 《红旗飘飘》快闪,https://cfss.cc/api/kg/E956D2B12C474217F5361E345B5A52EF.mp4
陈红、蔡国庆、张迈、江涛 - 常回家看看 - 1999央视春节联欢晚会,https://cfss.cc/api/kg/64E912F7FFE2AC25943FA4D5054A2BA1.mp4
王珞丹、蔡国庆 - 常回家看看 - 2012央视龙年春节联欢晚会,https://cfss.cc/api/kg/A027349207C8FAE63FC08FDCB803716D.mp4
蔡国庆、张凯丽、关晓彤、于朦胧、李菁、任静、刘媛媛、陈铎、付笛声、付豪(9) - 《红旗飘飘》快闪,https://cfss.cc/api/kg/E956D2B12C474217F5361E345B5A52EF.mp4
陈红、蔡国庆、张迈、江涛 - 常回家看看 - 1999央视春节联欢晚会,https://cfss.cc/api/kg/64E912F7FFE2AC25943FA4D5054A2BA1.mp4
蔡国庆 - 三百六十五个祝福 - 2015超级歌单第十一期现场,https://cfss.cc/api/kg/5E4C216D88B269A206D4889CF73320D5.mp4
蔡国庆 - 同一首歌 - 时光音乐会 第7期,https://cfss.cc/api/kg/9DA893C01353F0D8D263BB0867E2BB97.mp4
蔡国庆、张凯丽、关晓彤、于朦胧、李菁、任静、刘媛媛、陈铎、付笛声、付豪(9) - 《红旗飘飘》快闪,https://cfss.cc/api/kg/E956D2B12C474217F5361E345B5A52EF.mp4
蔡国庆、江涛、吕继宏、佟铁鑫 - 今夜北方飘着雪花 - 2011央视兔年春节联欢晚会,https://cfss.cc/api/kg/15CD167A87210874E6081D96EB359B5C.mp4
蔡国庆、蔡轩正 - 我爱我的家 - 2020山东春晚,https://cfss.cc/api/kg/C3C8F1BCC69ADA12D02178B3CB15CC67.mp4
蔡国庆、杨树林、厉害了!我的歌 - 欢乐欧若拉 - 2017厉害了!我的歌第一季第四期现场,https://cfss.cc/api/kg/197DEFD29FAD6BCCAB1703F9A6A06A8F.mp4
蔡国庆、张凯丽 - 感到幸福你就拍拍手 - 启航2023——中央广播电视总台跨年晚会现场,https://cfss.cc/api/kg/0E0D705684D1AA65CE83C530533A6C24.mp4
蔡国庆 - 美好如梦 第十七届京张心连心文艺演出 现场版 13/06/29,https://cfss.cc/api/kg/73016310040ED6A278EC90C9F7192E26.mp4
蔡国庆、黄龄 - 哎呀呀 + high歌 - 嗨唱转起来20/10/23,https://cfss.cc/api/kg/19F3D224AE1E5D53F4BA1572A844C516.mp4
蔡国庆、伊丽莎白、歌声的翅膀 - 茉莉花 - 2017歌声的翅膀第十一期现场,https://cfss.cc/api/kg/2D2C8FDD59961F25184506BBA6E2A90A.mp4
蔡国庆、蔡轩正、SING女团、李昕融、李凯稠、樊桐舟 - 春开幸福门 - 2023山东卫视春节联欢晚会,https://cfss.cc/api/kg/813DC03BEADCE995EA269AB37B06F80F.mp4
蔡国庆 - 心中的故事,https://cfss.cc/api/kg/3543CDFFB016B0F4B987D9569D806208.mp4
蔡国庆、景岗山、黄格选 - 跨进一九九九,https://cfss.cc/api/kg/F2A90E2973CA021D93B33274A4FFA91E.mp4
蔡国庆、景岗山、黄格选 - 跨进一九九九,https://cfss.cc/api/kg/F2A90E2973CA021D93B33274A4FFA91E.mp4
陈俊析+蔡国庆-我和我的祖国,http://em.21dtv.com/songs/60139218.mkv
蔡国庆+伊丽莎白-茉莉花,http://em.21dtv.com/songs/60139084.mkv
SWIN组合+蔡国庆+王云峰+王宛尘-三百六十五个祝福,http://em.21dtv.com/songs/60136182.mkv
SWIN组合+蔡国庆-听妈妈讲那过去的事 风吹麦浪,http://em.21dtv.com/songs/60136181.mkv
陈红+蔡国庆-我悄悄蒙上你的眼睛(演唱会),http://em.21dtv.com/songs/60046024.mkv
蔡国庆+林萍-无悔的选择,http://em.21dtv.com/songs/60104413.mkv
杨树林+蔡国庆-三百六十五个祝福,http://em.21dtv.com/songs/60133849.mkv
蔡国庆-三百六十五个祝福,http://em.21dtv.com/songs/60037166.mkv
蔡国庆+陈红-悄悄蒙上你的眼睛(演唱会),http://em.21dtv.com/songs/60034419.mkv
王丽达+蔡国庆-我们的美好时代,http://em.21dtv.com/songs/60117024.mkv
蔡国庆+白雪-大雪无情人有情,http://em.21dtv.com/songs/60014191.mkv

蔡健雅,#genre#
先生有事吗-蔡健雅,http://em.21dtv.com/songs/60117194.mkv
无底洞蔡健雅,http://em.21dtv.com/songs/60117198.mkv
蔡健雅 - Letting Go,https://cfss.cc/api/kg/DB042C750CE3ED0D18387F85C5D51CF9.mp4
蔡健雅 - 红色高跟鞋 - 《爱情左右》电影主题曲,https://cfss.cc/api/kg/E0AE6858557B1D7B5F07E50DEDB8D113.mp4
蔡健雅 - 失语者,https://cfss.cc/api/kg/5D646FFDA3B2CA105F6BBE7403EC2FEA.mp4
蔡健雅、中国新歌声 - 当我想你的时候 - 现场版,https://cfss.cc/api/kg/FBF3881482716E155F5D9370CC400803.mp4
为谁难伤 - 我们是否深爱过？蔡健雅《Letting Go》动情演绎爱的疑惑,https://cfss.cc/api/kg/AB6B7414302FE8BDC69E6895C796AA04.mp4
蔡健雅 - 达尔文,https://cfss.cc/api/kg/5FEA6FB01CD7502B68A13000B202E431.mp4
蔡健雅、HOYO-MiX - Nightglow - 《崩坏3》动画印象曲,https://cfss.cc/api/kg/E3F327295619AD87E40228FCA9D53C98.mp4
蔡健雅、刘维、丁当、弦子、汪小敏、金曲捞 - 红色高跟鞋 - 金曲捞第二季 第8期,https://cfss.cc/api/kg/486FD5240DB7535968D9145945AE1B37.mp4
蔡健雅、刘维、丁当、弦子、汪小敏、金曲捞 - 红色高跟鞋 - 金曲捞第二季 第8期,https://cfss.cc/api/kg/486FD5240DB7535968D9145945AE1B37.mp4
来打酱油 - 世界很美，而你正好有空。,https://cfss.cc/api/kg/BED955626558D9FC6DC62709F582A03B.mp4
天使无情 - 【720P】《中国好歌曲》“小李宗盛”许钧催泪演唱《自己》唱哭蔡健雅、羽泉（刘欢、周华健）,https://cfss.cc/api/kg/62490B9E7736A2657A7F073E055FAE49.mp4
在繁花落空时相逢 - 【720P】《中国好歌曲》莫西子诗《要死就一定要死在你手里》各种现场版本/翻唱  （刘欢/周华健/蔡健雅/杨坤/郑钧）我是歌手（谭维维）梦想的声音（田馥甄）,https://cfss.cc/api/kg/E0C3F4BFEE093627AC0F63ACF7DB4D80.mp4
蓝梦冰恋 - 【720P】《中国好歌曲》催泪神作周三《一个歌手的情书》刘欢/周华健/蔡健雅/杨坤（又名周三的情书）,https://cfss.cc/api/kg/FF11230477254B4FA735364C47C258E9.mp4
上官芸兒 - 【我们的歌】ep3 reaction（下），肖战x那英《跟着感觉走》，蒋一侨x蔡健雅《原来的我》，直男现场吐槽跟着感觉走的分组！,https://cfss.cc/api/kg/FB42F5907F9C8EC850AE35E847E1AC85.mp4
在繁花落空时相逢 - 【720P】《中国好歌曲》莫西子诗《要死就一定要死在你手里》各种现场版本/翻唱  （刘欢/周华健/蔡健雅/杨坤/郑钧）我是歌手（谭维维）梦想的声音（田馥甄）,https://cfss.cc/api/kg/E0C3F4BFEE093627AC0F63ACF7DB4D80.mp4
小秋 - 【720P】《中国好歌曲》暖心金曲赵照《当你老了》刘欢/周华健/蔡健雅/杨坤,https://cfss.cc/api/kg/6DD10E197AC8A47EAEDEA0730A99EFC4.mp4
雷诺 - 【720P】《中国好歌曲》苟乃鹏扎心情歌《不等你》 周华健/刘欢/蔡健雅/羽泉,https://cfss.cc/api/kg/E644FAF545380D14DD6C273F5A41364D.mp4
清林凌De水 - 【720P】《中国好歌曲》十大金曲刘胡轶《从前慢》各种现场版本 刘欢/郎朗/吕思清/周华健/蔡健雅/羽泉,https://cfss.cc/api/kg/C4AED9009720B79FF0461AF3C230A8CE.mp4
蔡健雅-紫,http://em.21dtv.com/songs/60139083.mkv
蔡健雅-Beautiful Love,http://em.21dtv.com/songs/60117193.mkv
张惠妹+林忆莲+蔡健雅+那英-We Are One,http://em.21dtv.com/songs/60104125.mkv
祁紫檀+蔡健雅-得知平淡珍贵的一天,http://em.21dtv.com/songs/60109555.mkv
蔡健雅-see you again,http://em.21dtv.com/songs/60112215.mkv
林忆莲+张惠妹+那英+蔡健雅-We Are One,http://em.21dtv.com/songs/60105183.mkv
蔡健雅-WE ARE ONE,http://em.21dtv.com/songs/60102711.mkv
蔡健雅-别找我麻烦,http://em.21dtv.com/songs/60117195.mkv
蔡健雅-下一次爱情来的时候(演唱会),http://em.21dtv.com/songs/60048303.mkv
刘欢+蔡健雅+羽泉+周华健+全国32强-唱我的歌,http://em.21dtv.com/songs/60109185.mkv
蔡健雅-不知所以然,http://em.21dtv.com/songs/60107986.mkv
蔡健雅-无底洞,http://em.21dtv.com/songs/60117198.mkv
蔡健雅-天使与魔鬼的对话,http://em.21dtv.com/songs/60085787.mkv
蔡健雅-时光谣,http://em.21dtv.com/songs/60109612.mkv
