电影轮播,#genre#
斗鱼电影153,http://43.138.170.29:35455/douyu/8799435
斗鱼电影155,http://43.138.170.29:35455/douyu/4258555
斗鱼电影165,http://43.138.170.29:35455/douyu/8705754
斗鱼电影166,http://43.138.170.29:35455/douyu/5581257
斗鱼电影169,http://43.138.170.29:35455/douyu/7528160
斗鱼电影90,http://43.138.170.29:35455/douyu/6785471
斗鱼电影110,http://43.138.170.29:35455/douyu/8415464
斗鱼电影113,http://43.138.170.29:35455/douyu/5522351
斗鱼电影114,http://43.138.170.29:35455/douyu/562225
斗鱼电影115,http://43.138.170.29:35455/douyu/223521
斗鱼电影116,http://43.138.170.29:35455/douyu/8651489
斗鱼电影118,http://43.138.170.29:35455/douyu/4631599
斗鱼电影120,http://43.138.170.29:35455/douyu/5354713
斗鱼电影122,http://43.138.170.29:35455/douyu/3485629
斗鱼电影130,http://43.138.170.29:35455/douyu/8014467
斗鱼电影137,http://43.138.170.29:35455/douyu/1274132
斗鱼电影143,http://43.138.170.29:35455/douyu/7314294
斗鱼电影149,http://43.138.170.29:35455/douyu/6582435
斗鱼电影150,http://43.138.170.29:35455/douyu/3980787
斗鱼电影158,http://43.138.170.29:35455/douyu/8788687
斗鱼电影159,http://43.138.170.29:35455/douyu/11342386
斗鱼电影1y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
斗鱼电2y,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
斗鱼电影3y,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
斗鱼电影4y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=99705a1921ddd49fb7079a02f02bedc4&token=cpn-androidmpro-0-20415-b6774b3b3249db17d8beee6676fdf877fe8b1576307ef8e6&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
【特辑电影】有骨气酒楼营业中,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=3637778
【神乐】华语 经典 电影 沈腾 周杰伦,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=85894
【蓝翔】弹幕天团、下饭神剧[请勿刷屏],http://103.45.68.47:666/gy/gy656/斗鱼.php?id=5908256
✨电影 欧美 科幻 动作 经典 喜剧✨,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=20415
【牛叔】N分钟带你看完大片,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=2758565
【龙门】天山勾地火，宝塔镇蛇妖,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9650860
【纪晓岚】莫说百无一用是书生,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9071554
【正版】经典小品，下饭必备,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9067836
【贝爷MAX厅】60帧 科幻 动作 经典,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4332
【片片】片荒的时候看片片,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4258555
邵氏影院,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4246519
【全体起立】你的本山大叔超强来袭,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9817716
【万合天宜】王大锤情怀上线,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9220456
【更新】最全斗牌、麻将剧集解说,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9559158
你滴勋宗，8.12已更新,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9738854
【科幻Fans】精彩科幻影视，解说连连看,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=3508304
【贝贝】今日2倍亲密度~武汉妹子陪你看剧,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=431460
【开心麻花】沈腾、马丽经典小品专场,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=10153463
【咖妃驾到】宋小宝经典小品,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9817729
开心锤锤，开心快乐每一天！,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9018297
下午茶时段房管点播~,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=3952247
邵氏影院,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4246519
【樱木花道灌篮】PP动漫精彩解说,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9837291
【虫哥】魔性吐槽童年回忆,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=8915074
刘哔讲电影，东北话解说嘎嘎强,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=2632223
许君聪经典小品的直播间,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=10419558
科学黑历史,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9317739
《游钓中国第九季》第九季同步更新中,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=791411
【刘老师】每天爆笑解说不断,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=8317926
你的海南军阀给你带来最地道的赶海,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=1109218
贾玲经典小品的直播间,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=10419541
白客、孔连顺主演《鲜肉老师》登陆斗鱼！,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9815091
邵氏影院,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4246519
❤️小U❤️丧尸 鬼片 恐怖 惊悚 电影,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=96577
【周星驰】星爷 电影 喜剧 经典 神乐,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=122402
口音贼重的解说直播间,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9734098
大齐赶海，又是出大货的一天,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=3647278
【体育】聊聊科比、乔丹传奇故事,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=8434598
【郭杰瑞】被央视点名的美国小哥,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=7357786
「橙記」「最人气港剧直播间」,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4549169
【牛叔2台】欢迎来到牛叔的悬疑世界,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=10010651
扑朔迷离的案件里隐藏着什么？,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=610972
[怀旧剧场] 剧经典,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=7119207
邵氏影院,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4246519
迷小雅最新爽剧解说,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9639225
兄弟赶海，带你看遍天下海鲜,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9091847
✨美兮✨不可能 我二弟天下无敌✨,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=2838296
❤️周杰伦❤️音乐MV电影神级现场演唱会,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=7537296
【恐怖电影】 僵尸 丧尸 灾难片,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=310926
【女神金】60帧 蓝光原画 刀刀陪看,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=747764
经典小品相声乐不停,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9273031
【蓝翔】原画电影 华语经典 周星驰喜剧,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=276200
大家快来看 9403712,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=9403712
❤️怡寶❤️港台 喜剧 动作 科幻,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=434971
邵氏影院,http://103.45.68.47:666/gy/gy656/斗鱼.php?id=4246519
霍格影片,http://epg.112114.xyz/douyu/8814650
喜剧电影,http://epg.112114.xyz/douyu/9292492
豆瓣高分,http://epg.112114.xyz/douyu/8770422
恐怖经典,http://epg.112114.xyz/douyu/1165374
变种人电影,http://epg.112114.xyz/douyu/9651304
邵氏影院,http://epg.112114.xyz/douyu/4246519
神乐影片1,http://epg.112114.xyz/douyu/122402
神乐影片2,http://epg.112114.xyz/douyu/85894
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
贝爷影厅,http://epg.112114.xyz/douyu/252802
贝爷影厅,http://epg.112114.xyz/douyu/36337
可乐电影,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
华语电影,http://epg.112114.xyz/douyu/3928
60帧影院,http://epg.112114.xyz/douyu/323876
华语电影,http://epg.112114.xyz/douyu/3928
避风港影院,http://epg.112114.xyz/douyu/9826611
枪战电影,http://epg.112114.xyz/douyu/1377142
斗鱼电影1,http://epg.112114.xyz/douyu/2935323
斗鱼电影2,http://epg.112114.xyz/douyu/7459925
斗鱼电影3,http://epg.112114.xyz/douyu/431460
斗鱼电影4,http://epg.112114.xyz/douyu/4246519
斗鱼电影5,http://epg.112114.xyz/douyu/7116591
斗鱼电影6,http://epg.112114.xyz/douyu/6776615
斗鱼电影7,http://epg.112114.xyz/douyu/7655471
斗鱼电影8,http://epg.112114.xyz/douyu/4290711
斗鱼电影9,http://epg.112114.xyz/douyu/6566671
斗鱼电影10,http://epg.112114.xyz/douyu/8475821
斗鱼电影11,http://epg.112114.xyz/douyu/338759
斗鱼电影12,http://epg.112114.xyz/douyu/2793084
斗鱼电影13,http://epg.112114.xyz/douyu/5067952
斗鱼电影14,http://epg.112114.xyz/douyu/413573
斗鱼电影15,http://epg.112114.xyz/douyu/5033502
斗鱼电影16,http://epg.112114.xyz/douyu/426517
斗鱼电影17,http://epg.112114.xyz/douyu/1274132
斗鱼电影18,http://epg.112114.xyz/douyu/7314294
斗鱼电影19,http://epg.112114.xyz/douyu/6582435
斗鱼电影20,http://epg.112114.xyz/douyu/323876
斗鱼电影21,http://epg.112114.xyz/douyu/2935323
斗鱼电影22,http://epg.112114.xyz/douyu/6785471
斗鱼探险,http://epg.112114.xyz/douyu/3485629
斗鱼搞笑HD1,http://epg.112114.xyz/douyu/9220456
斗鱼搞笑HD2,http://epg.112114.xyz/douyu/9770949
斗鱼搞笑HD3,http://epg.112114.xyz/douyu/9067836
斗鱼搞笑HD4,http://epg.112114.xyz/douyu/9817729
斗鱼搞笑HD5,http://epg.112114.xyz/douyu/8737695
斗鱼旅行1,http://epg.112114.xyz/douyu/6563725
斗鱼旅行2,http://epg.112114.xyz/douyu/9358196
斗鱼旅游3,http://epg.112114.xyz/douyu/6580174
斗鱼旅游4,http://epg.112114.xyz/douyu/1109218
斗鱼旅行5,http://epg.112114.xyz/douyu/454867
斗鱼棋牌1,http://epg.112114.xyz/douyu/1227260
斗鱼棋牌2,http://epg.112114.xyz/douyu/851040
斗鱼棋牌3,http://epg.112114.xyz/douyu/4369877
斗鱼收藏,http://epg.112114.xyz/douyu/9812765
邵氏影院,https://openhls-tct.douyucdn2.cn/dyliveflv1/4246519rs5QiOQE5.m3u8
斗鱼2,http://epg.112114.xyz/douyu/315457 
斗鱼17,http://epg.112114.xyz/douyu/747764 
斗鱼38,http://epg.112114.xyz/douyu/96577 
斗鱼47,http://epg.112114.xyz/douyu/4505431 
斗鱼58,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2 
斗鱼59,https://txmov2.a.kwimgs.com/upic/2021/11/15/11/BMjAyMTExMTUxMTEyNDVfMjUzNzUyNTEyOF82MDkwNTM3MzY3NF8wXzM=_b_Bb1c8157f61cfbf1736be442040b93134.mp4?tag=1-1637124583-std-1-qav3oagqzv-824966656f766966&clientCacheKey=3xpd4vwzhdekbgy_b.mp4&tt=b&di=529d11df&bp=12681

音乐,#genre#
音乐点歌,http://mmitv.top/test/douyu.php?id=17732
斗鱼音乐,http://epg.112114.xyz/douyu/3870925
点歌MV,http://epg.112114.xyz/douyu/3186217
周杰伦MTV,http://epg.112114.xyz/douyu/7537296
秋月自制,http://epg.112114.xyz/douyu/9588891
Wu哥音乐,http://epg.112114.xyz/douyu/8667755
音乐台长,http://epg.112114.xyz/douyu/9629943
